YT zhlédnutí (nejlepší trailer);Počasí (rating 1-5);Sezónnost;Sequel;Diváci (1.)
339627.0;4;0.8855;0.0;28529
335538.0;2.5;-0.9927;0.0;8899
333796.0;4.5;0.0;0.0;68478
333588.0;5;0.9927;1.0;15201
329814.0;3;0.3546;0.0;16866
328255.0;4;0.8855;0.0;23530
328255.0;3;-0.823;1.0;60037
325370.0;4;0.1205;1.0;44731
325017.0;3;0.935;0.0;0
321958.0;1;0.4647;0.0;114751
321934.0;1;-0.8855;0.0;96819
317208.0;3;-0.5681;1.0;150117
316418.0;4.5;0.5681;0.0;50866
316240.0;4.5;0.5681;0.0;18040
316240.0;1;0.4647;1.0;13757
315959.0;3;0.7485;0.0;177112
315161.0;3;-0.9709;0.0;104358
314859.0;1;-0.7485;0.0;71208
314859.0;3;-0.7485;1.0;53488
314286.0;3;-0.8855;1.0;115525
313541.0;3;-0.9709;0.0;6624
311780.0;4.5;0.8855;1.0;70092
310979.0;1;-0.7485;1.0;14536
308730.0;4.5;0.5681;0.0;7057
307940.0;3;0.2393;0.0;0
307940.0;1;-0.9927;1.0;34071
307625.0;3;0.5681;0.0;13559
307625.0;4;0.8855;1.0;188005
306682.0;3;-0.3546;0.0;104916
306409.0;2.5;0.7485;1.0;89791
303200.0;3;-0.9927;1.0;17397
302221.0;2.5;0.7485;0.0;203188
299633.0;4.5;0.5681;0.0;76710
299633.0;3;0.935;1.0;43294
298295.0;3;0.7485;0.0;12498
298295.0;5;0.9709;1.0;47754
298273.0;2.5;-0.823;0.0;10156
297083.0;1;-0.5681;0.0;59073
296165.0;3;-0.9927;1.0;32875
294055.0;4.5;0.3546;0.0;153139
293584.0;4.5;1.0;0.0;52501
292336.0;3;-0.823;1.0;54483
291689.0;2.5;0.6631;0.0;55642
290817.0;3;-0.9927;0.0;71808
289987.0;3;-0.6631;0.0;39198
289987.0;1;0.0;1.0;94369
288439.0;1;-0.4647;0.0;10107
287089.0;1;-0.6631;0.0;23855
286395.0;1;-0.9709;0.0;23439
286083.0;1;-0.823;0.0;8962
285013.0;3;0.5681;0.0;15250
284060.0;3;-0.935;0.0;5907
284042.0;3;-0.1205;0.0;4921
283115.0;1;-0.3546;0.0;9411
282547.0;3;-0.823;0.0;45460
282445.0;4;0.9709;0.0;76787
281993.0;4.5;0.5681;0.0;7299
281749.0;1;-0.7485;1.0;56529
278511.0;3;0.9927;1.0;183709
275247.0;2.5;0.7485;0.0;52354
273870.0;3;-0.2393;0.0;31537
273870.0;3;0.8855;1.0;37436
271602.0;1;0.2393;0.0;19266
271602.0;1;-1.0;1.0;31883
270849.0;3;-0.9927;0.0;16944
270234.0;1;0.4647;0.0;71076
269354.0;1;-0.7485;0.0;25884
269125.0;1;-0.1205;1.0;22695
268914.0;5;1.0;0.0;81350
268914.0;4;0.935;0.0;8432
266460.0;1;-0.2393;0.0;10021
264972.0;4.5;0.4647;0.0;10850
264972.0;3;0.5681;1.0;30784
264972.0;4.5;-0.7485;1.0;52376
264972.0;1;0.1205;1.0;46049
262572.0;4.5;0.0;0.0;6015
262572.0;3;-0.2393;0.0;9125
260001.0;4.5;0.9709;0.0;11249
260001.0;3;0.2393;0.0;1958
258512.0;3;-0.6631;0.0;118713
257332.0;3;-0.9927;0.0;7865
257201.0;1;-0.935;0.0;24286
257056.0;3;-0.9927;0.0;15856
255222.0;3;-0.8855;0.0;10754
255222.0;3;-0.6631;1.0;8109
254474.0;3;-0.1205;1.0;96537
254452.0;1;0.7485;0.0;25903
247327.0;3;0.7485;0.0;29008
245675.0;4;0.8855;0.0;56373
245267.0;1;-0.7485;0.0;102131
245267.0;3;-0.9927;1.0;54212
244084.0;3;-0.1205;0.0;96767
241890.0;4.5;0.9927;1.0;14966
241522.0;4.5;0.5681;0.0;26429
239242.0;3;-0.9927;1.0;9602
237871.0;4;0.823;0.0;13842
236273.0;3;-0.9709;0.0;9227
235676.0;4.5;0.0;0.0;29755
234914.0;3;-0.1205;0.0;28593
234458.0;1;-0.935;1.0;14333
233978.0;3;-0.935;0.0;21463
233925.0;3;-0.9709;0.0;13902
233925.0;1;0.3546;1.0;12708
233818.0;4;0.7485;0.0;45530
233701.0;1;-0.1205;0.0;37345
233184.0;5;0.0;0.0;38099
233136.0;3;-0.935;1.0;3040
231967.0;3;-0.935;1.0;14722
231824.0;1;-0.5681;1.0;122380
230194.0;3;-0.823;0.0;11667
230141.0;3;0.9709;0.0;13005
229177.0;2.5;0.8855;1.0;31783
227527.0;1;-0.2393;1.0;71432
227058.0;4.5;-0.2393;0.0;0
227058.0;4;0.4647;1.0;12082
227058.0;1;-0.9709;1.0;33184
227058.0;3;-0.7485;1.0;54461
225642.0;4;0.9927;0.0;16406
224611.0;4;0.6631;0.0;88480
224268.0;5;0.2393;0.0;57250
223645.0;1;-0.7485;0.0;6069
222775.0;2.5;0.8855;0.0;14330
222256.0;3;-0.1205;0.0;21212
221438.0;5;1.0;0.0;18892
221062.0;1;-0.5681;0.0;38841
221062.0;3;-0.8855;1.0;16390
216099.0;3;-0.823;0.0;71898
213235.0;3;-0.4647;0.0;56562
213004.0;5;0.9927;0.0;3393
210636.0;2.5;0.3546;0.0;35293
210294.0;1;-0.5681;0.0;16703
210232.0;3;-0.3546;0.0;59971
208549.0;3;-0.2393;0.0;6369
205820.0;3;0.935;0.0;70483
205775.0;4;0.9927;0.0;26235
204101.0;2.5;0.6631;0.0;50926
204016.0;3;0.2393;1.0;17585
202876.0;5;0.823;0.0;63630
201983.0;3;-0.823;1.0;21173
201575.0;4;0.823;0.0;15063
201469.0;2.5;-0.823;1.0;21050
200775.0;1;0.4647;1.0;76799
200678.0;3;-0.935;0.0;45408
200678.0;3;-0.8855;1.0;35939
200678.0;1;-0.5681;1.0;46721
200678.0;3;-0.9927;0.0;50452
199661.0;1;-0.4647;0.0;18810
197870.0;4;0.4647;0.0;13286
197797.0;4;0.935;0.0;64391
197210.0;1;-0.6631;0.0;3425
196659.0;3;0.1205;0.0;0
196659.0;1;0.1205;1.0;9446
196659.0;1;-0.8855;0.0;2058
196628.0;1;-0.4647;0.0;33278
196380.0;3;0.3546;0.0;74147
195687.0;5;0.8855;0.0;24752
194128.0;1;0.7485;0.0;19386
193566.0;4.5;-0.3546;0.0;21408
193391.0;2.5;-0.3546;1.0;18093
191910.0;2.5;0.8855;0.0;8196
191567.0;3;-0.2393;1.0;38594
190244.0;3;-0.5681;0.0;13129
188114.0;4;0.4647;0.0;20666
187622.0;3;0.6631;0.0;48360
187438.0;2.5;0.3546;0.0;34334
186857.0;3;-0.2393;0.0;2235
186833.0;5;0.823;0.0;40548
186759.0;1;-0.2393;0.0;23408
186759.0;1;-0.823;1.0;27397
186718.0;3;0.935;1.0;31847
186371.0;2.5;0.1205;0.0;22238
185889.0;5;0.5681;0.0;38911
185889.0;4.5;0.7485;1.0;58647
185629.0;1;-0.5681;0.0;7979
184682.0;1;-0.4647;1.0;36021
184321.0;5;0.7485;0.0;9785
184088.0;3;0.935;0.0;35995
183114.0;3;0.823;0.0;21777
182877.0;4;-0.1205;0.0;1522
182053.0;1;0.0;0.0;24740
179862.0;3;0.4647;0.0;3678
179433.0;4.5;0.5681;0.0;61241
179058.0;3;-0.3546;0.0;0
178780.0;3;-0.6631;0.0;6154
176640.0;1;-0.3546;0.0;23113
176340.0;1;0.3546;1.0;0
176173.0;4;0.935;1.0;75408
175162.0;3;-0.5681;1.0;131580
174631.0;3;-0.3546;0.0;12939
173953.0;4;0.9927;0.0;2152
173895.0;5;0.1205;0.0;7822
173849.0;4;0.6631;0.0;12349
173610.0;1;-0.935;0.0;8745
173569.0;1;-0.3546;0.0;10969
173343.0;4;0.4647;0.0;14739
173147.0;3;-0.9709;0.0;8051
172777.0;3;-0.9709;0.0;19707
172420.0;1;-0.2393;0.0;14283
171680.0;3;-0.935;1.0;10888
171305.0;1;-0.3546;1.0;68000
171273.0;4;0.9709;0.0;186271
170548.0;2.5;-1.0;0.0;7814
170404.0;4.5;0.6631;0.0;0
170404.0;3;-0.9709;1.0;7398
169928.0;3;-0.935;0.0;12751
169636.0;3;-0.935;0.0;4173
169579.0;3;-0.5681;1.0;706
169384.0;2.5;0.2393;1.0;7301
168147.0;3;0.4647;1.0;22787
167893.0;4;0.9709;1.0;201859
167630.0;5;0.0;0.0;49561
167526.0;3;-0.823;0.0;7989
167526.0;3;0.935;1.0;33096
167232.0;1;0.0;0.0;0
167232.0;5;0.8855;1.0;0
167118.0;3;0.4647;0.0;12916
166898.0;3;0.0;1.0;117786
166802.0;4;1.0;0.0;10578
166559.0;3;0.9709;1.0;11061
166559.0;4;0.9709;1.0;0
166559.0;1;0.5681;1.0;0
166559.0;4.5;-0.2393;1.0;8414
166559.0;4.5;0.3546;1.0;16617
166559.0;2.5;0.4647;1.0;17765
165951.0;1;-0.935;0.0;25890
165951.0;3;-0.9927;1.0;45809
165706.0;5;0.9927;1.0;165887
164802.0;4;0.4647;0.0;975
164347.0;4.5;0.4647;0.0;14259
164347.0;3;-0.935;0.0;12294
163589.0;1;-0.9709;1.0;27816
163526.0;1;0.1205;0.0;43430
162742.0;2.5;0.935;0.0;9363
160834.0;1;-0.9927;0.0;12393
160810.0;4.5;1.0;0.0;7546
160709.0;4;0.1205;0.0;31655
160239.0;3;0.0;0.0;3008
159737.0;1;-1.0;1.0;62652
159706.0;2.5;0.1205;0.0;1578
159610.0;5;0.7485;0.0;0
159515.0;3;-0.935;0.0;0
158850.0;2.5;0.3546;0.0;3517
158577.0;1;0.4647;1.0;17407
158293.0;1;-0.1205;0.0;11832
158293.0;4.5;0.7485;1.0;67348
158039.0;1;-0.5681;0.0;971
157771.0;3;0.4647;1.0;15213
157704.0;3;-0.2393;1.0;43515
157703.0;1;-0.9927;0.0;6618
157088.0;1;-0.8855;0.0;20833
157073.0;1;0.1205;0.0;25815
155979.0;3;-0.9709;0.0;26503
155936.0;5;0.8855;0.0;36138
154810.0;3;-0.2393;0.0;7330
153498.0;1;-0.9709;0.0;7140
152352.0;5;0.935;0.0;8187
152212.0;1;-0.7485;1.0;120075
150588.0;3;-0.823;0.0;5000
150537.0;1;-0.823;0.0;2052
150509.0;3;-0.4647;0.0;0
150263.0;1;-0.8855;1.0;13026
150198.0;3;0.6631;1.0;62678
150167.0;1;-0.935;1.0;64277
150132.0;4;1.0;0.0;16702
150063.0;5;0.5681;0.0;6472
149507.0;4.5;0.9709;0.0;18969
149401.0;3;-0.4647;0.0;20222
149249.0;1;0.4647;0.0;10873
147481.0;5;0.8855;0.0;11044
147021.0;5;0.1205;1.0;81880
146197.0;3;0.7485;0.0;5686
145325.0;2.5;-0.8855;0.0;14679
144935.0;3;-0.823;0.0;46540
143882.0;3;0.3546;0.0;32204
143494.0;4.5;0.4647;1.0;58421
143347.0;3;-0.5681;0.0;10748
142887.0;3;-0.9709;1.0;78325
142619.0;3;-0.935;1.0;14028
142619.0;2.5;0.9709;0.0;4859
142304.0;4.5;0.9927;0.0;76920
142278.0;1;-0.2393;0.0;10701
141745.0;1;-0.935;0.0;10912
141451.0;4.5;0.3546;0.0;23418
141392.0;5;0.9927;0.0;23831
141378.0;3;0.6631;1.0;78867
141279.0;3;-0.5681;1.0;26160
141093.0;5;0.9709;0.0;45150
141056.0;3;-0.9709;0.0;18509
140782.0;3;-0.6631;0.0;47335
140731.0;3;0.5681;0.0;27235
140731.0;5;-0.1205;1.0;0
140653.0;1;-0.935;0.0;7561
139835.0;1;0.4647;0.0;41535
139805.0;1;-0.6631;1.0;13169
139805.0;1;0.3546;0.0;24856
139127.0;4;0.823;0.0;11316
138887.0;1;-0.7485;1.0;33200
138519.0;3;-0.9927;0.0;5685
138496.0;3;-0.935;0.0;25901
138235.0;4;0.935;0.0;0
138123.0;4;0.823;1.0;30387
137532.0;3;-0.8855;0.0;10867
137473.0;2.5;0.935;1.0;23037
137205.0;1;-0.7485;0.0;32046
137087.0;1;-0.8855;0.0;7225
137051.0;1;-0.3546;0.0;11441
136981.0;1;0.4647;0.0;23117
136714.0;2.5;0.1205;0.0;58971
136704.0;3;-0.7485;1.0;29984
136207.0;1;-0.9709;0.0;6862
135565.0;4.5;0.8855;0.0;3712
135565.0;3;0.2393;1.0;18278
135098.0;3;-1.0;1.0;4434
134470.0;4.5;0.6631;0.0;5842
134129.0;4;0.823;0.0;15064
133426.0;3;0.823;1.0;17104
133348.0;1;-0.8855;0.0;32511
133324.0;1;-0.7485;0.0;0
133002.0;3;0.823;0.0;21688
132961.0;1;-0.4647;0.0;6520
132283.0;1;-0.6631;0.0;5622
132223.0;1;-1.0;0.0;15334
132167.0;3;0.8855;0.0;14505
131699.0;3;-0.9927;0.0;5805
131497.0;3;-0.9927;0.0;8153
131281.0;5;0.9709;0.0;13355
130897.0;2.5;0.823;0.0;33058
130845.0;3;-0.7485;0.0;12793
130806.0;1;-0.935;0.0;12777
130422.0;1;-0.7485;0.0;5387
130341.0;3;0.7485;0.0;35694
130147.0;1;0.0;0.0;14703
130059.0;3;-0.6631;0.0;13437
129809.0;2.5;0.823;0.0;13838
129489.0;4.5;0.9927;1.0;27516
129274.0;3;-0.8855;0.0;27704
128971.0;1;-0.4647;1.0;10752
128782.0;3;0.0;0.0;2470
128547.0;3;0.5681;0.0;17256
127956.0;3;-0.4647;0.0;18495
127604.0;3;0.8855;0.0;61804
127346.0;1;0.0;0.0;3021
126868.0;4;0.6631;0.0;140236
126868.0;2.5;0.5681;1.0;71640
126868.0;5;0.8855;1.0;54165
126843.0;4.5;1.0;0.0;32771
126642.0;1;-0.8855;1.0;8840
126552.0;3;-0.8855;0.0;23973
125602.0;4;0.935;0.0;47589
125496.0;1;-0.9709;0.0;2667
124425.0;3.5;0.3546;0.0;76337
124412.0;5;0.7485;1.0;72076
123882.0;3;0.4647;0.0;16648
123882.0;3;-0.5681;1.0;10882
123576.0;4.5;0.0;0.0;0
123007.0;1;-0.9927;0.0;21139
122999.0;3;0.3546;1.0;23087
122727.0;4.5;0.9927;1.0;234034
121296.0;1;-0.6631;0.0;18243
120886.0;2.5;0.1205;0.0;25013
120563.0;3;0.5681;0.0;25610
120418.0;1;-0.9709;0.0;1208
120227.0;3;-1.0;0.0;0
120215.0;2.5;0.6631;0.0;16280
119407.0;3;0.935;0.0;4191
118145.0;3;0.0;0.0;40974
117993.0;4;0.9927;1.0;9998
117080.0;3;-0.5681;0.0;13160
117077.0;1;-1.0;0.0;31960
116952.0;3;-0.935;1.0;21476
116898.0;3;0.4647;0.0;6761
116747.0;3;-0.9709;0.0;2650
116233.0;5;0.935;0.0;36672
115838.0;4;-0.2393;0.0;1899
115419.0;1;-0.5681;0.0;19337
115331.0;1;-0.8855;0.0;28422
114739.0;1;-0.2393;1.0;38760
114501.0;2.5;-0.1205;1.0;56489
114354.0;1;-1.0;0.0;10979
114331.0;4.5;-0.7485;0.0;6075
113932.0;3;-0.3546;0.0;3324
113742.0;3;0.5681;1.0;38374
113740.0;3;0.5681;0.0;2247
113288.0;3;0.4647;0.0;31542
112981.0;1;-0.5681;0.0;30568
112399.0;1;-0.7485;1.0;9675
112109.0;3;0.2393;0.0;13622
111931.0;1;-0.3546;1.0;2613
111680.0;2.5;0.6631;0.0;27461
111297.0;3;0.0;0.0;5047
111274.0;4.5;0.9709;0.0;19921
111129.0;4;0.823;0.0;18931
111099.0;2.5;0.3546;0.0;15581
110912.0;2.5;0.3546;0.0;30877
110829.0;1;0.3546;0.0;22061
110255.0;3;0.5681;0.0;13817
109976.0;4;0.8855;1.0;15723
109737.0;4.5;0.6631;0.0;55762
109376.0;3;-0.9927;0.0;18480
109197.0;3.5;0.3546;0.0;30196
109183.0;4;0.6631;1.0;44341
109083.0;4.5;0.2393;0.0;8448
108865.0;1;-0.6631;0.0;5250
108777.0;1;-0.7485;0.0;20624
108733.0;3;-0.1205;1.0;28954
108315.0;3;0.3546;1.0;9408
108182.0;3;0.1205;0.0;11446
108130.0;4;0.1205;0.0;8869
107960.0;2.5;-0.823;1.0;17365
107828.0;1;-0.935;0.0;6022
107696.0;1;-0.9927;0.0;13234
107076.0;4;0.9927;0.0;3176
106907.0;5;0.1205;0.0;13421
106851.0;5;0.9709;1.0;239856
106826.0;1;0.0;0.0;34261
106671.0;1;0.2393;0.0;6993
106580.0;3;0.5681;0.0;8521
106433.0;4.5;0.5681;1.0;11630
106399.0;3;0.0;0.0;17909
105960.0;4.5;0.7485;0.0;43807
105570.0;3;-0.9709;1.0;5926
105358.0;3;0.9709;0.0;8058
105309.0;2.5;0.4647;1.0;121390
104911.0;1;-0.7485;0.0;8039
104592.0;1;-0.9927;0.0;408
104567.0;4;0.9927;0.0;57622
103833.0;5;0.9927;1.0;16207
103609.0;4.5;0.7485;1.0;246180
103609.0;3;-0.9709;1.0;230856
103583.0;3;-0.935;0.0;0
103583.0;3;-0.9709;1.0;65423
103386.0;4.5;0.6631;0.0;37380
103123.0;3;0.7485;0.0;74022
102736.0;3;0.935;0.0;5222
102705.0;1;-0.5681;0.0;3394
102363.0;3;-0.9709;0.0;10505
101699.0;1;-0.1205;0.0;9019
101453.0;5;0.7485;0.0;9098
101082.0;3;-0.7485;1.0;16010
100969.0;3;-0.6631;0.0;5368
100928.0;1;-0.935;0.0;12949
100778.0;3;-0.823;0.0;857
100691.0;4;0.3546;0.0;4994
100651.0;5;0.7485;0.0;41012
100596.0;4.5;0.5681;0.0;25269
100557.0;3;-0.2393;0.0;4650
100400.0;3;-0.8855;0.0;2682
100354.0;4.5;0.0;0.0;2463
100354.0;2.5;0.823;1.0;5844
100348.0;4;0.823;0.0;26905
100141.0;3;0.6631;1.0;3787
99953.0;3;-0.2393;0.0;15021
99912.0;4.5;0.6631;0.0;48915
99670.0;3;0.6631;0.0;14583
99653.0;4;0.9927;1.0;26063
99461.0;1;-0.3546;0.0;9552
99408.0;1;-0.9927;1.0;13487
99383.0;3;-0.4647;0.0;1099
99378.0;1;-0.1205;1.0;22827
99107.0;2.5;0.5681;0.0;10497
99052.0;4;0.7485;1.0;15296
98731.0;2.5;0.7485;0.0;7022
98548.0;3;0.935;0.0;6453
98192.0;2.5;0.2393;0.0;32028
97966.0;1;0.1205;0.0;2509
97805.0;4;0.9709;0.0;23289
97778.0;3;-0.9709;0.0;29731
97778.0;3;-0.4647;1.0;22569
97747.0;3;0.823;0.0;17388
97728.0;3;-0.9709;0.0;9180
97305.0;2.5;-0.1205;0.0;28844
97089.0;4.5;-0.3546;0.0;5523
96822.0;1;0.4647;0.0;19327
96822.0;2.5;-0.5681;1.0;87935
96690.0;4;0.935;1.0;3026
96661.0;3;0.9709;1.0;200439
96593.0;1;-0.935;0.0;10467
96179.0;4.5;0.5681;0.0;9796
96141.0;1;0.2393;0.0;17528
96110.0;1;-0.7485;0.0;2046
95531.0;3;0.3546;0.0;8137
95461.0;3;-0.3546;0.0;5613
95432.0;2.5;0.2393;0.0;17198
94247.0;1;0.4647;1.0;36001
94199.0;3;0.5681;0.0;8957
94016.0;3;0.1205;0.0;18694
93693.0;3;0.7485;0.0;59449
93472.0;1;-0.9709;0.0;1245
93113.0;3;-0.823;0.0;16300
92953.0;3.5;0.2393;0.0;40047
92891.0;4.5;0.3546;0.0;15744
92891.0;1;-0.8855;1.0;6061
92803.0;5;0.6631;0.0;35448
92552.0;3;0.823;0.0;19807
92248.0;3;-0.9709;0.0;0
92156.0;3;-0.7485;0.0;13398
92077.0;3;0.3546;0.0;28525
91528.0;1;-0.7485;0.0;10388
91421.0;5;0.1205;0.0;28767
91130.0;3;-0.9709;0.0;4681
90885.0;5;0.9709;0.0;13309
90187.0;4.5;0.9927;0.0;7234
90187.0;3;0.9709;1.0;9152
90098.0;4;0.7485;0.0;20927
90057.0;2.5;-0.2393;0.0;21478
89520.0;3;-0.9927;0.0;376
89520.0;1;0.3546;0.0;9258
89423.0;3;-0.2393;0.0;520
89150.0;4;0.935;1.0;18156
89139.0;1;-0.4647;0.0;19233
88989.0;1;-0.1205;1.0;6561
88848.0;4.5;0.3546;0.0;7366
88669.0;4;0.5681;0.0;27080
88634.0;2.5;0.3546;0.0;0
88291.0;4;0.5681;1.0;49991
87899.0;3;0.2393;0.0;3135
87224.0;4.5;0.5681;0.0;8484
87224.0;3;-0.2393;1.0;11467
87090.0;3;0.9709;0.0;64331
87090.0;1;-0.3546;0.0;738
87048.0;1;-0.9927;1.0;16103
86961.0;3;0.7485;1.0;157357
86961.0;3;0.7485;1.0;213280
86530.0;4;0.935;0.0;31495
86434.0;3;-0.8855;0.0;13570
86434.0;5;0.9927;1.0;8739
86300.0;1;-0.8855;0.0;3969
86201.0;3;0.3546;0.0;10723
86180.0;3;0.2393;1.0;16204
86179.0;4.5;0.9927;1.0;18562
86084.0;3;-0.2393;0.0;5675
86048.0;3;-0.1205;1.0;36862
85824.0;1;0.0;0.0;13495
85355.0;3;-0.6631;0.0;18552
85270.0;3;-0.3546;0.0;9583
85270.0;4.5;1.0;1.0;17493
85161.0;1;-0.823;0.0;8618
85096.0;3;-0.3546;0.0;2665
84927.0;4;0.8855;0.0;2965
84717.0;3;-0.2393;0.0;4937
84266.0;1;-0.823;0.0;1094
84240.0;4.5;0.0;0.0;7487
84198.0;1;0.7485;0.0;1548
83995.0;2.5;0.823;0.0;5149
83625.0;3;-0.2393;0.0;16590
83571.0;1;-0.6631;0.0;19166
83502.0;3;0.0;1.0;17049
83098.0;1;-0.1205;0.0;10418
82632.0;3;-0.4647;0.0;9721
